Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us
Aleem Restaurant,North Indian,-,₹350 for two,2.7,"Civil Lines, Agra","Cafe, Ambience, Consistent Quality"
The Restaurant - Trident Hotel,"North Indian, Chinese, Continental",4.2,"₹2,000 for two",4.3,"Trident Hotel, Tajganj, Agra","Exquisite Taste, Ambiance, Staff"
Welcome Yadav Dhaba,North Indian,3.9,₹300 for two,3.3,"Lohamandi, Agra","Perfect Place, Peaceful Ambience, Vintage Decor"
Cakery N Bakery,"Bakery, Desserts, Coffee, Sandwich, Fast Food, Burger",3.6,₹500 for two,4.0,"Tajganj, Agra","Friendly Staff, Staff, Consistent Quality"
Peppers Cafe & Kitchen,"Italian, Chinese, North Indian, Desserts, Shake",-,"₹1,000 for two",7.1,"Sikandra, Agra","Cafe, Good Bartenders, Local Sourcing"
Chainess,"Street Food, Sandwich, Fast Food, Tea, Beverages",4.4,₹300 for two,2.8,"Civil Lines, Agra","Well-priced Options, Attentive Service, Innovative Dishes"
Gymlicious,"North Indian, Chinese, Fast Food, American, Beverages, Healthy Food",3.3,₹250 for two,4.0,"Khandari, Agra","Hospitality, Diverse Menu, Satisfying Portions"
Agra Chat Cafe,Street Food,3.7,₹100 for two,2.7,"Tajganj, Agra","Young Crowd, Delicious Food, Great Service"
Hotel Amar - Noorjahan Restaurant,"Bar Food, Chinese, Continental, South Indian, Fast Food, North Indian, Desserts, Beverages",3.9,₹900 for two,2.5,"Hotel Amar, Tajganj, Agra","Cafe, Consistent Quality, Weekend Brunch"
The Burger Company,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",3.4,₹500 for two,3.7,"Khandari, Agra","Trendy Setting, Peaceful Ambience, Breakfast"
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",3.6,₹400 for two,3.6,"Trans Yamuna, Agra","Cozy Ambiance, Vintage Decor, Memorable Experience"
Shree Bankey Bihari Misthan Bhandar,"Mithai, Street Food",3.7,₹300 for two,3.9,"Kamla Nagar, Agra","Brewed Beer, Young Crowd, Seasonal Menu"
Brijbhog Misthan Bhandar & Restaurant,Mithai,-,₹200 for two,5.9,"Sikandra, Agra","Trendy Setting, Attentive Service, Good Music"
Urban Dhaba Sethi Wala,"North Indian, Fast Food, Burger, Shake, Beverages",3.5,₹250 for two,4.9,"Tajganj, Agra","Impeccable Presentation, Ambiance, Good Bartenders"
Sri Dauji Mishthan Bhandar,"Mithai, North Indian",3.3,₹350 for two,2.4,"Civil Lines, Agra","Fresh Ingredients, Main Course, Variety of Beer"
Pandit Dhaba,North Indian,3.4,₹300 for two,4.6,"Dayal Bagh, Agra","Perfect Place, Breakfast, Satisfying Portions"
Hyderabadi Dum Biryani Point,"Biryani, Chinese",3.5,₹400 for two,4.4,"Arjun Nagar, Agra","Brewed Beer, Staff, Inviting Decor"
Pizza House Family Restaurant,"South Indian, North Indian, Fast Food, Chinese, Pizza, Beverages",3.0,₹400 for two,5.5,"Agra Cantt, Agra","Peaceful Ambience, Main Course, Extensive Mocktail Menu"
Udupi Brindavan,"South Indian, North Indian",3.4,₹600 for two,2.7,"Tajganj, Agra","Authentic Flavors, Variety of Beer, Great Service"
Social Attitude,"North Indian, Fast Food, Healthy Food",3.9,₹400 for two,3.3,"Lohamandi, Agra","Memorable Experience, Fresh Ingredients, Flavorful Creations"
Red Grill,"North Indian, Chinese, Mughlai",3.4,₹400 for two,5.5,"Dayal Bagh, Agra","Variety of Beer, Quantity, Peaceful Ambience"
Rockstar Cafe,"Chinese, North Indian, Fast Food, Desserts, Beverages",3.2,₹400 for two,6.3,"Kuberpur, Agra","Ambiance, Consistent Quality, Great for Dates"
3C's Cafe,"Fast Food, Beverages, Shake, Burger, Momos, Coffee, Cafe",4.3,₹700 for two,2.7,"Civil Lines, Agra","Memorable Experience, Cozy Ambiance, Great for Dates"
Cake & More,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",3.5,₹300 for two,2.5,"Tajganj, Agra","Well-priced Options, Trendy Setting, Flavorful Creations"
Taj Mahal Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.2,"₹1,000 for two",3.4,"Tajganj, Agra","Flavorful Creations, Seasonal Menu, Friendly Staff"
Lobby Bar - Holiday Inn,Bar Food,3.9,"₹2,400 for two",2.6,"Civil Lines, Agra","Young Crowd, Courteous Staff, Memorable Experience"
Skydeck - The Gateway Hotel,"North Indian, Chinese, Continental",3.7,"₹5,500 for two",3.1,"The Gateway Hotel, Tajganj, Agra","Inviting Decor, Good Bartenders, Friendly Staff"
Pizza In Pizza,"Pizza, Fast Food",-,₹400 for two,8.3,"Gopal Pura, Agra","Efficient Service, Warm Atmosphere, Authentic Flavors"
Churros,"Cafe, Coffee, Bubble Tea, Fast Food, Waffle",New,₹350 for two,3.8,"Kamla Nagar, Agra","Comfortable Seating, Satisfying Portions, Vintage Decor"
Chaska Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Pizza, Beverages, Fast Food",3.6,"₹1,000 for two",3.8,"Kamla Nagar, Agra","Variety of Beer, Great for Dates, Warm Atmosphere"
Agarwal Food Court,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",4.0,₹600 for two,2.5,"Agra Cantt, Agra","Vintage Decor, Weekend Brunch, Great for Dates"
Anise,"North Indian, Kebab, Biryani, Desserts",4.5,"₹2,000 for two",4.8,"Tajganj, Agra","Attentive Service, Weekend Brunch, Great Service"
The Royal Dining Restaurant,"North Indian, Chinese, Continental, South Indian, Oriental, Desserts, Beverages, Italian",4.6,"₹1,000 for two",4.0,"Tajganj, Agra","Consistent Quality, Efficient Service, Exquisite Taste"
Tareef Restaurant,North Indian,3.1,₹350 for two,1.8,"Mantola, Agra","Inviting Decor, Extensive Mocktail Menu, Perfect Place"
Chia Taj View Cafe,"Coffee, Fast Food",-,₹500 for two,2.6,"Tajganj, Agra","Cozy Ambiance, Breakfast, Satisfying Portions"
2ND Wife,"North Indian, Fast Food, Beverages, Shake",3.2,₹250 for two,1.7,"Agra Cantt, Agra","Flavorful Creations, Staff, Hospitable Staff"
Atlantic Foods,"Bakery, Desserts, Fast Food, Beverages",4.1,₹400 for two,2.7,"Civil Lines, Agra","Diverse Menu, Consistent Quality, Memorable Experience"
Public Restaurant,"North Indian, Mughlai",3.4,₹800 for two,4.3,"Tajganj, Agra","Courteous Staff, Ambiance, Young Crowd"
Hotel Solitaire,"North Indian, South Indian, Chinese, Desserts, Fast Food",4.1,₹600 for two,2.5,"Civil Lines, Agra","Well-priced Options, Memorable Experience, Courteous Staff"
Rambabu Ke Parathe,North Indian,3.9,₹300 for two,6.4,"Tajganj, Agra","Extensive Mocktail Menu, Consistent Quality, Seasonal Menu"
Thor The Party World,"North Indian, Continental, Mughlai",-,"₹1,500 for two",5.9,"Tajganj, Agra","Attentive Service, Hospitality, Quantity"
Deviram Food Circle,"Mithai, Chinese, South Indian, Street Food, Fast Food",3.0,₹450 for two,4.2,"Dayal Bagh, Agra","Hospitable Staff, Seasonal Menu, Vintage Decor"
Tea'se Coffee - The Tamala Tree,"North Indian, Chinese, Sushi, Salad",-,"₹1,500 for two",4.6,"Tajganj, Agra","Cafe, Quantity, Hospitality"
D'zurt Cafe,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",4.1,₹800 for two,3.8,"Kamla Nagar, Agra","Cafe, Customizable Dishes, Ambience"
Sattolala Food Court,"North Indian, Mithai, Fast Food",3.5,₹300 for two,3.4,"Shahganj, Agra","Main Course, Weekend Brunch, Live Sports Screening"
Tipsy Grill,"Burger, Fast Food, Desserts, Waffle, Beverages",3.2,₹400 for two,4.4,"Khandari, Agra","Staff, Ambiance, Inviting Decor"
Dev Sagar Hotel And Restaurant,"North Indian, Chinese, Pizza, Fast Food",New,₹300 for two,8.4,"Sikandra, Agra","Customizable Dishes, Friendly Staff, Innovative Dishes"
Shri Tirupati No.1 Family Restaurant,"North Indian, South Indian, Fast Food",4.0,₹300 for two,5.6,"Sikandra, Agra","Peaceful Ambience, Great Service, Cafe"
Veer Ji Malai Chaap Wale,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",3.5,₹500 for two,6.6,"Sikandra, Agra","Seasonal Menu, Weekend Brunch, Customizable Dishes"
MCD Non Veg King,"North Indian, Chinese, Rolls",-,₹450 for two,3.5,"Tajganj, Agra","Weekend Brunch, Fresh Ingredients, Attentive Service"
Hari Chatni Restaurant,"Chinese, Wraps, Fast Food, North Indian, Mughlai, Biryani",3.9,₹600 for two,3.3,"Civil Lines, Agra","Extensive Mocktail Menu, Ambiance, Staff"
Al Baik,"Fast Food, Burger, Pizza, Sandwich",-,₹400 for two,3.8,"Arjun Nagar, Agra","Comfortable Seating, Good Bartenders, Breakfast"
Biryani & Kebab by Zahid Foods,"North Indian, Biryani, Lebanese, Mughlai, Chinese, Desserts",-,"₹1,000 for two",3.5,"Tajganj, Agra","Clean Environment, Customizable Dishes, Authentic Flavors"
Goli Vada Pav No. 1,Street Food,4.0,₹100 for two,7.0,"Sikandra, Agra","Warm Atmosphere, Extensive Mocktail Menu, Young Crowd"
Jain Restaurant,"North Indian, South Indian",4.2,₹500 for two,3.3,"Shahganj, Agra","Staff, Diverse Menu, Cafe"
Mansion- Tapas & CL Club,"North Indian, Asian, Italian, Chinese, Sushi, Biryani, Desserts, Beverages",3.9,"₹3,500 for two",1.8,"Rakabganj, Agra","Diverse Menu, Exquisite Taste, Live Sports Screening"
Bapu Dhaba,North Indian,3.2,₹400 for two,4.1,"Kuberpur, Agra","Hospitality, Clean Environment, Live Sports Screening"
Spicy Cottage Cafe & Restaurant,"South Indian, Pizza, Sandwich, Fast Food, Shake, Chinese, Beverages",-,₹300 for two,7.9,"Sikandra, Agra","Quantity, Inviting Decor, Local Sourcing"
Apna Zaika Restaurant & Cafe,"North Indian, South Indian, Chinese, Street Food, Pizza, Burger, Fast Food, Shake",New,₹300 for two,4.0,"Khandari, Agra","Innovative Dishes, Perfect Place, Warm Atmosphere"
Play Safari Cafe,"Italian, Chinese, North Indian, Beverages",4.5,₹500 for two,2.9,"Civil Lines, Agra","Courteous Staff, Innovative Dishes, Vintage Decor"
Lakshmi Vilas,"South Indian, Chinese, Tea, Shake, Desserts",3.9,₹500 for two,2.4,"Agra Cantt, Agra","Live Sports Screening, Cafe, Ambiance"
Ram Chinese Food Corner,Chinese,-,₹300 for two,2.5,"Civil Lines, Agra","Great Service, Authentic Flavors, Memorable Experience"
Waffle World,"Waffle, Desserts, Beverages",-,₹400 for two,5.7,"Lohamandi, Agra","Impeccable Presentation, Efficient Service, Warm Atmosphere"
Liquid Lounge Bar - Taj Hotel & Convention Centre,Finger Food,4.3,"₹2,500 for two",4.3,"Taj Hotel & Convention Centre, Tajganj, Agra","Good Bartenders, Weekend Brunch, Satisfying Portions"
Food Stock Xchange,"Chinese, Rolls, North Indian, Biryani, Mughlai, Fast Food",4.0,"₹1,000 for two",3.8,"Tajganj, Agra","Local Sourcing, Weekend Brunch, Cozy Ambiance"
Sky Grill - Grand Mercure (An Accor Hotel),"North Indian, Continental, Beverages",4.2,"₹3,200 for two",3.8,"Crystal Sarovar Premier, Tajganj, Agra","Efficient Service, Diverse Menu, Innovative Dishes"
Bullet Adda,"Continental, Fast Food, Beverages, Desserts, North Indian, Chinese",4.1,"₹1,300 for two",6.3,"Sikandra, Agra","Cafe, Courteous Staff, Staff"
Mama  Bhojanalya,"Healthy Food, North Indian, Fast Food",-,₹400 for two,4.8,"Kamla Nagar, Agra","Flavorful Creations, Efficient Service, Satisfying Portions"
Yadav Dhaba,North Indian,4.0,₹200 for two,2.8,"Lohamandi, Agra","Live Sports Screening, Peaceful Ambience, Vintage Decor"
Kuvira Tea And Cafe,"Burger, Pizza, Sandwich, Fast Food, Street Food, Tea, Shake, Beverages",-,₹200 for two,3.9,"Trans Yamuna, Agra","Breakfast, Flavorful Creations, Peaceful Ambience"
Bistro OG,"Pizza, Burger, Sandwich, Fast Food, Street Food, Ice Cream, Shake, Beverages",-,₹350 for two,4.4,"Tajganj, Agra","Brewed Beer, Innovative Dishes, Well-priced Options"
What The Food,"Chinese, Rolls, Momos, Burger, Fast Food, Shawarma",3.5,₹400 for two,3.5,"Civil Lines, Agra","Warm Atmosphere, Breakfast, Attentive Service"
Chimmanlal Puri Wale-Chhoti Dukaan,"North Indian, Street Food",4.7,₹200 for two,0.417,"Mantola, Agra","Live Sports Screening, Hospitality, Comfortable Seating"
D Jail House Restaurant,"Awadhi, Chinese, Mughlai, North Indian, Beverages",3.9,"₹1,000 for two",7.2,"Sikandra, Agra","Ambiance, Diverse Menu, Impeccable Presentation"
Agarwal Restaurant Sweets And Dairy,"North Indian, South Indian, Fast Food, Desserts, Chinese, Beverages",4.0,₹500 for two,6.0,"Shahganj, Agra","Variety of Beer, Seasonal Menu, Trendy Setting"
Sips And Bites,"Sandwich, Burger, Pizza, Fast Food, Shake, North Indian",3.8,₹300 for two,3.2,"Lohamandi, Agra","Hospitable Staff, Authentic Flavors, Quantity"
Sher - E - Punjab Restaurant,North Indian,4.1,₹600 for two,3.3,"Kamla Nagar, Agra","Good Music, Main Course, Exquisite Taste"
Deviram Sweets & Food Plaza,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",4.0,₹450 for two,4.0,"Tajganj, Agra","Good Bartenders, Main Course, Seasonal Menu"
Krishiv Khana Khazana,"North Indian, Chinese, South Indian, Fast Food, Shake, Beverages",New,₹350 for two,4.8,"Dayal Bagh, Agra","Clean Environment, Main Course, Memorable Experience"
Tomars Hygiene Kitchen,"North Indian, Mughlai",4.1,₹600 for two,3.2,"Tajganj, Agra","Staff, Breakfast, Seasonal Menu"
Soami's Rasoi,"North Indian, Chinese, Fast Food, South Indian",4.2,"₹1,000 for two",4.0,"Dayal Bagh, Agra","Good Bartenders, Live Sports Screening, Cafe"
Tirupati's Dosa Factory,"South Indian, Chinese, Beverages",4.1,₹500 for two,3.1,"Civil Lines, Agra","Extensive Mocktail Menu, Staff, Friendly Staff"
Tapas - Jaypee Palace Hotel,"North Indian, Finger Food, Bar Food, Beverages",3.9,"₹2,000 for two",4.4,"Jaypee Palace Hotel, Tajganj, Agra","Great Service, Creative Cuisine, Hospitable Staff"
Apna Zaika Restaurant And Cafe,"North Indian, South Indian, Chinese, Pizza, Fast Food, Street Food, Shake, Beverages",New,₹300 for two,4.0,"Khandari, Agra","Impeccable Presentation, Cafe, Satisfying Portions"
Awadhi Foods,"North Indian, Rolls, Mughlai",4.2,₹400 for two,2.5,"Civil Lines, Agra","Peaceful Ambience, Ambiance, Ambience"
BON BARBECUE,"North Indian, Chinese, Continental, Seafood, Desserts",4.2,"₹1,600 for two",4.2,"Tajganj, Agra","Customizable Dishes, Friendly Staff, Great Service"
Mero Vrindavan Fast Foods,Fast Food,New,₹300 for two,2.3,"Lohamandi, Agra","Creative Cuisine, Weekend Brunch, Live Sports Screening"
3 Idiots Family Restaurant,"North Indian, Chinese, Pizza, Fast Food, Street Food, Beverages",New,₹400 for two,4.4,"Gopal Pura, Agra","Authentic Flavors, Sophisticated, Consistent Quality"
Moon Light Punjabi Restaurant,"North Indian, South Indian, Chinese",4.1,₹300 for two,7.3,"Sikandra, Agra","Comfortable Seating, Cozy Ambiance, Attentive Service"
Shree Balaji Maharaj Dhaba & Family Restaurant,North Indian,New,₹300 for two,3.8,"Trans Yamuna, Agra","Consistent Quality, Quantity, Clean Environment"
Hotel Jai Hind & Restaurant,"North Indian, Mughlai, Fast Food",4.3,₹500 for two,2.6,"Agra Cantt, Agra","Weekend Brunch, Brewed Beer, Young Crowd"
Rose Bud Cafe,"Fast Food, Pizza, Burger, Sandwich, Wraps, Pasta, Beverages, Bakery",-,₹400 for two,5.7,"Lohamandi, Agra","Quantity, Delicious Food, Young Crowd"
Taj Bano - ITC Mughal,"Mughlai, North Indian",4.1,"₹3,000 for two",3.2,"ITC Mughal, Tajganj, Agra","Cafe, Diverse Menu, Brewed Beer"
The Royal Bistro,"North Indian, Shake, Beverages",3.9,₹300 for two,3.3,"Civil Lines, Agra","Cozy Ambiance, Customizable Dishes, Great for Dates"
Yadav Dhaba,North Indian,3.3,₹350 for two,2.8,"Civil Lines, Agra","Main Course, Variety of Beer, Hospitality"
The Park Restaurant,"North Indian, Chinese, Continental, Mughlai, Beverages, Biryani",3.5,₹800 for two,2.5,"Agra Cantt, Agra","Great for Dates, Main Course, Brewed Beer"
Sheesh Mahal - Mansingh Palace,"North Indian, Chinese, Continental",3.8,"₹1,800 for two",2.5,"Mansingh Palace, Tajganj, Agra","Staff, Local Sourcing, Memorable Experience"
Celebration Restaurant,"Chinese, North Indian, Street Food, South Indian, Desserts, Continental, Pizza, Beverages",3.9,"₹1,000 for two",3.9,"Kamla Nagar, Agra","Satisfying Portions, Exquisite Taste, Live Sports Screening"
Ashoka Bar,North Indian,4.4,"₹1,000 for two",2.7,"Civil Lines, Agra","Main Course, Inviting Decor, Authentic Flavors"
Zaaki Crystal Club And restaurant,"North Indian, Beverages, Chinese, Street Food",-,₹600 for two,3.8,"Kamla Nagar, Agra","Brewed Beer, Local Sourcing, Clean Environment"
Maa Vaishno Restaurant,North Indian,3.8,₹300 for two,5.4,"Tajganj, Agra","Cafe, Young Crowd, Ambience"
Romo's Junction,"North Indian, Pizza, Chinese, Momos, Rolls",3.2,₹400 for two,7.0,"Sikandra, Agra","Peaceful Ambience, Cafe, Staff"
The Charcoal Chimney Restaurant,"North Indian, Chinese, Fast Food",-,"₹1,100 for two",3.7,"Tajganj, Agra","Fresh Ingredients, Innovative Dishes, Great for Dates"
Mughchi Mughlai & Chinese,"North Indian, Mughlai",-,"₹1,000 for two",1.2,"Civil Lines, Agra","Great Service, Cozy Ambiance, Quantity"
Ravi Patties & Mocktail Point,Street Food,4.1,₹100 for two,3.3,"Lohamandi, Agra","Breakfast, Efficient Service, Quantity"
Sri Dauji's Chatpataa,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",3.9,₹500 for two,3.5,"Kamla Nagar, Agra","Sophisticated, Satisfying Portions, Customizable Dishes"
Shalimar Dhaba Veg And Non Veg,"Mughlai, North Indian",-,₹500 for two,3.9,"Trans Yamuna, Agra","Delicious Food, Fresh Ingredients, Main Course"
Bhagat Halwai,"Mithai, Fast Food, North Indian",3.9,₹300 for two,4.6,"Khandari, Agra","Brewed Beer, Impeccable Presentation, Efficient Service"
Shubh Anand Hi Anand Bhojnalaya,North Indian,3.6,₹250 for two,2.7,"Civil Lines, Agra","Impeccable Presentation, Consistent Quality, Courteous Staff"
Dosa Factory,South Indian,3.5,₹300 for two,6.9,"Sikandra, Agra","Well-priced Options, Main Course, Diverse Menu"
Gyani Dhaba,North Indian,3.7,₹200 for two,5.9,"Dayal Bagh, Agra","Attentive Service, Cafe, Fresh Ingredients"
Sardar Ji Da Dhaba,North Indian,3.7,₹400 for two,3.4,"Agra Cantt, Agra","Well-priced Options, Delicious Food, Friendly Staff"
Manohar Lal Daulat Ram Garg Gajak Wale,Mithai,4.0,₹300 for two,5.6,"Sikandra, Agra","Sustainable Practices, Good Music, Inviting Decor"
Ratan Pizza,"Pizza, Fast Food, Bakery",4.0,₹500 for two,3.3,"Khandari, Agra","Variety of Beer, Memorable Experience, Seasonal Menu"
Spicy Wonder,"North Indian, Fast Food, Chinese, Continental",3.7,₹700 for two,3.3,"Kamla Nagar, Agra","Diverse Menu, Peaceful Ambience, Vintage Decor"
Level 4 Rooftop,"North Indian, Continental, Pizza, Asian, Beverages",4.0,₹600 for two,4.3,"Tajganj, Agra","Main Course, Friendly Staff, Clean Environment"
The Momo Corner,"Momos, Chinese, Beverages",4.2,₹300 for two,3.8,"Kamla Nagar, Agra","Comfortable Seating, Sophisticated, Weekend Brunch"
THK- Tomars Hygiene Kitchen,"North Indian, Biryani, Chinese",3.9,₹900 for two,3.3,"Tajganj, Agra","Main Course, Weekend Brunch, Fresh Ingredients"
Pizza Hub,"Pizza, Fast Food",4.2,₹300 for two,4.0,"Shahganj, Agra","Comfortable Seating, Local Sourcing, Ambience"
Roofmates,"North Indian, Chinese, Kebab, Biryani, Fast Food, BBQ, Street Food",4.2,"₹1,100 for two",7.2,"Sikandra, Agra","Young Crowd, Ambience, Impeccable Presentation"
Jam House Cafe,"Cafe, Fast Food",3.9,₹500 for two,3.1,"Tajganj, Agra","Well-priced Options, Good Bartenders, Weekend Brunch"
Daddy Plz,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",3.8,₹400 for two,6.4,"Shahganj, Agra","Memorable Experience, Friendly Staff, Authentic Flavors"
The Big Bun,"Fast Food, Burger, Desserts, Bakery",3.4,₹300 for two,3.6,"Civil Lines, Agra","Ambience, Impeccable Presentation, Seasonal Menu"
Pape Ka Dhabha,"North Indian, Mughlai",4.3,₹350 for two,0.91,"Mantola, Agra","Breakfast, Perfect Place, Good Music"
